Neighborhood,Block,Area,bldgclass
Battery Park City,11,3623,V1
Battery Park City,16,237948,V1
Battery Park City,19,3758,V1
Battery Park City,25,13202,V1
Battery Park City,30,2291,V1
Battery Park City,51,9067,V1
Battery Park City,56,1215,V1
Battery Park City,64,66,V1
Battery Park City,72,4836,V1
Battery Park City,72,6700,V1
Battery Park City,77,2189,V1
Battery Park City,78,8320,V1
Battery Park City,79,2714,V1
Battery Park City,79,2714,V1
Battery Park City,107,8165,V1
Battery Park City,113,67553,V9
Chinatown,73,9650,V1
Chinatown,108,82775,V9
Chinatown,240,8225,V9
Chinatown,240,924750,V9
Chinatown,274,252,V1
Chinatown,275,116,V1
Chinatown,279,115,V1
Chinatown,279,198,V9
Chinatown,281,8,V1
Chinatown,282,26,V9
Chinatown,282,54,V9
Chinatown,282,9825,V1
Chinatown,289,93360,V9
Chinatown,293,131,V1
Chinatown,297,1869,V1
Chinatown,303,1243,V1
Chinatown,309,2195,V5
Chinatown,354,1092,V1
Chinatown,354,1834,V1
Chinatown,354,2066,V1
Chinatown,410,7653,V1
Chinatown,415,963,V1
Chinatown,415,2204,V1
Chinatown,415,3201,V9
East Village,397,2048,V1
East Village,398,2568,V1
East Village,398,2569,V1
East Village,401,1802,V1
East Village,401,2131,V1
East Village,401,2161,V1
East Village,401,2426,V1
East Village,401,2430,V1
East Village,401,3300,V1
East Village,401,4850,V1
East Village,405,1261,V1
East Village,405,1581,V1
East Village,405,2581,V1
East Village,405,2581,V1
East Village,405,2581,V1
East Village,405,2581,V1
East Village,406,1100,V1
East Village,406,2581,V1
East Village,406,2581,V1
East Village,406,2581,V1
East Village,407,2581,V1
East Village,407,12906,V1
East Village,407,30781,V1
East Village,434,1703,V1
East Village,438,2369,V1
East Village,439,36137,V1
East Village,440,592,V1
East Village,441,25429,V1
East Village,443,2402,V1
East Village,443,7715,V1
East Village,446,2400,V1
East Village,447,2425,V1
East Village,463,2500,V1
East Village,463,2500,V1
East Village,463,2500,V1
East Village,464,1160,V1
Gramercy,877,2850,V1
Gramercy,882,63,V1
Gramercy,900,9390,V1
HudsonYards Chelsea Flatiron UnionSquare,662,319775,V1
HudsonYards Chelsea Flatiron UnionSquare,665,2518,V1
HudsonYards Chelsea Flatiron UnionSquare,665,43954,V1
HudsonYards Chelsea Flatiron UnionSquare,665,123200,V9
HudsonYards Chelsea Flatiron UnionSquare,665,145425,V9
HudsonYards Chelsea Flatiron UnionSquare,665,176650,V9
HudsonYards Chelsea Flatiron UnionSquare,665,197075,V9
HudsonYards Chelsea Flatiron UnionSquare,676,147064,V1
HudsonYards Chelsea Flatiron UnionSquare,676,424528,V1
HudsonYards Chelsea Flatiron UnionSquare,686,24700,V9
HudsonYards Chelsea Flatiron UnionSquare,695,4937,V1
HudsonYards Chelsea Flatiron UnionSquare,695,7406,V1
HudsonYards Chelsea Flatiron UnionSquare,697,19750,V1
HudsonYards Chelsea Flatiron UnionSquare,699,4938,V1
HudsonYards Chelsea Flatiron UnionSquare,699,11158,V1
HudsonYards Chelsea Flatiron UnionSquare,700,2470,V1
HudsonYards Chelsea Flatiron UnionSquare,700,7406,V1
HudsonYards Chelsea Flatiron UnionSquare,702,159585,V1
HudsonYards Chelsea Flatiron UnionSquare,705,2176,V1
HudsonYards Chelsea Flatiron UnionSquare,705,36962,V1
HudsonYards Chelsea Flatiron UnionSquare,706,3218,V1
HudsonYards Chelsea Flatiron UnionSquare,706,47454,V1
HudsonYards Chelsea Flatiron UnionSquare,707,945,V1
HudsonYards Chelsea Flatiron UnionSquare,707,2043,V1
HudsonYards Chelsea Flatiron UnionSquare,707,23400,V1
HudsonYards Chelsea Flatiron UnionSquare,707,49375,V1
HudsonYards Chelsea Flatiron UnionSquare,708,4936,V1
HudsonYards Chelsea Flatiron UnionSquare,708,4937,V1
HudsonYards Chelsea Flatiron UnionSquare,708,7406,V1
HudsonYards Chelsea Flatiron UnionSquare,709,29625,V1
HudsonYards Chelsea Flatiron UnionSquare,710,20300,V1
